state,condition,year,current_cost,lower_bound,upper_bound
AK,atrial_fib,2018,78333.05397,66490.0801,90176.02783
AK,chronic_kidney,2018,53736.26587,41950.34822,65522.18351
AK,pulmonary,2018,45627.57755,33851.50005,57403.65505
AK,depression,2018,29107.75646,17353.34294,40862.16999
AK,diabetes,2018,39309.95121,27552.30146,51067.60095
AK,ischemia,2018,208493.1302,196024.383,220961.8774
AL,atrial_fib,2018,46202.2054,34433.64616,57970.76464
AL,asthma,2018,28362.59695,16595.26472,40129.92919
AL,chronic_kidney,2018,41834.14996,30062.76181,53605.53812
AL,pulmonary,2018,32677.98246,20911.74653,44444.21839
AL,depression,2018,24060.24243,12300.08206,35820.40279
AL,diabetes,2018,31841.68891,20082.80402,43600.5738
AL,hyperlip,2018,63667.10249,51884.83036,75449.37462
AL,hypertension,2018,32869.66989,21096.27115,44643.06862
AL,ischemia,2018,119518.0754,107691.7309,131344.42
AL,arthritis,2018,20928.90765,9147.422361,32710.39294
AL,psychotic,2018,28131.99225,16367.21962,39896.76488
AL,stroke,2018,61487.66157,49700.53218,73274.79096
AR,atrial_fib,2018,33535.24408,21779.72662,45290.76155
AR,asthma,2018,20573.39012,8813.110241,32333.67001
AR,chronic_kidney,2018,26837.20695,15080.35328,38594.06063
AR,pulmonary,2018,23254.38255,11499.01291,35009.7522
AR,depression,2018,15251.98236,3494.862183,27009.10253
AR,diabetes,2018,24036.65583,12284.96689,35788.34478
AR,hyperlip,2018,35739.90252,23975.74386,47504.06118
AR,hypertension,2018,20297.70208,8536.686589,32058.71757
AR,ischemia,2018,88675.15153,76914.75402,100435.549
AR,psychotic,2018,21994.36565,10229.83447,33758.89683
AR,stroke,2018,63175.14785,51388.83482,74961.46088
AZ,atrial_fib,2018,47937.99231,36062.69927,59813.28536
AZ,asthma,2018,38025.13259,26145.44773,49904.81745
AZ,chronic_kidney,2018,42491.97685,30614.07592,54369.87778
AZ,pulmonary,2018,42449.12073,30573.32845,54324.91301
AZ,depression,2018,37118.39046,25248.49023,48988.29069
AZ,diabetes,2018,42316.97784,30447.03849,54186.91718
AZ,hyperlip,2018,57797.38818,45920.70714,69674.06922
AZ,hypertension,2018,34614.38835,22729.89845,46498.87825
AZ,ischemia,2018,122267.0213,110369.4086,134164.634
AZ,arthritis,2018,26684.25389,14785.67511,38582.83266
AZ,psychotic,2018,27539.32061,15648.81421,39429.82701
AZ,stroke,2018,71849.52609,59945.34653,83753.70564
CA,atrial_fib,2018,78760.10852,66455.509,91064.70804
CA,asthma,2018,64818.69483,52517.5368,77119.85286
CA,chronic_kidney,2018,70589.11321,58280.25535,82897.97106
CA,pulmonary,2018,64555.27601,52247.0007,76863.55132
CA,depression,2018,63496.30652,51197.66716,75794.94589
CA,diabetes,2018,68288.32348,56000.88086,80575.7661
CA,hyperlip,2018,100125.3904,87822.41196,112428.3689
CA,hypertension,2018,58960.02913,46637.59566,71282.4626
CA,ischemia,2018,174755.4446,162401.8913,187108.9979
CA,arthritis,2018,63950.69734,51642.90091,76258.49376
CA,psychotic,2018,79470.48172,67172.50707,91768.45637
CA,stroke,2018,135358.2961,123035.8214,147680.7707
CO,atrial_fib,2018,51057.99734,39262.60553,62853.38915
CO,asthma,2018,35786.71056,23985.12155,47588.29958
CO,chronic_kidney,2018,48148.05622,36343.97483,59952.13761
CO,pulmonary,2018,42202.03845,30401.17708,54002.89982
CO,depression,2018,42939.46473,31137.79638,54741.13308
CO,diabetes,2018,44796.38052,33000.73878,56592.02226
CO,hyperlip,2018,63226.32131,51423.24434,75029.39828
CO,hypertension,2018,41840.7537,30030.2153,53651.2921
