state,condition,year,prev_less_65,prev_age_65_74,prev_age_75_84,prev_above_84,prev_male,prev_female,prev_white,prev_black,prev_hispanic,prev_other,current_cost,last_year_cost
AK,atrial_fib,2017,72763.0,225420.0,121624.0,40139.0,211795.0,274236.0,330861.0,11831.0,8644.0,3917.0,82202.87,59265.02
AK,chronic_kidney,2017,72763.0,225420.0,121624.0,40139.0,211795.0,274236.0,330861.0,11831.0,8644.0,3917.0,55526.67,46386.0
AK,pulmonary,2017,72763.0,225420.0,121624.0,40139.0,211795.0,274236.0,330861.0,11831.0,8644.0,3917.0,47005.51,49125.55
AK,depression,2017,72763.0,225420.0,121624.0,40139.0,211795.0,274236.0,330861.0,11831.0,8644.0,3917.0,28606.45,40158.35
AK,diabetes,2017,72763.0,225420.0,121624.0,40139.0,211795.0,274236.0,330861.0,11831.0,8644.0,3917.0,39967.39,48561.78
AK,ischemia,2017,72763.0,225420.0,121624.0,40139.0,211795.0,274236.0,330861.0,11831.0,8644.0,3917.0,215846.47,194588.59
AL,atrial_fib,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,46822.53,43217.05
AL,asthma,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,28257.61,26536.47
AL,chronic_kidney,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,42591.11,37872.98
AL,pulmonary,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,32907.72,29144.08
AL,depression,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,23276.41,23492.37
AL,diabetes,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,31951.41,28929.25
AL,hyperlip,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,65292.03,57196.92
AL,hypertension,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,32824.24,24511.04
AL,ischemia,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,117394.67,101126.04
AL,arthritis,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,20516.15,24379.67
AL,psychotic,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,26808.97,33277.74
AL,stroke,2017,1421879.0,3041074.0,2054404.0,838686.0,3062205.0,4383560.0,5656073.0,1004090.0,31086.0,24579.0,59503.82,85712.23
